SAMPLE	PATIENT_ID	COVERAGE	PERCENT_MAPPED
C282.TCGA-27-2526-10A-01W-0837-08.1	TCGA-27-2526	50.242	0.986229468641
C282.TCGA-06-2569-10A-01W-0837-08.1	TCGA-06-2569	50.2125	0.988334244682
C484.TCGA-27-2528-10A-01D-1494-08.5	TCGA-27-2528	39.9645	0.987917387912
C282.TCGA-28-1753-01A-01W-0837-08.1	TCGA-28-1753	51.315	0.975931146123
C484.TCGA-27-2519-10A-01D-1494-08.5	TCGA-27-2519	37.8341	0.989301718748
C484.TCGA-06-2567-01A-01D-1494-08.5	TCGA-06-2567	26.9317	0.987242116314
C484.TCGA-19-1390-10C-01D-1495-08.4	TCGA-19-1390	34.1841	0.984840874862
C282.TCGA-06-0648-10A-01W.2	TCGA-06-0648	17.5186	0.926852429
C484.TCGA-06-2559-01A-01D-1494-08.5	TCGA-06-2559	18.1053	0.983966578996
C484.TCGA-19-2624-10A-01D-1495-08.5	TCGA-19-2624	23.7127	0.986154717716
C484.TCGA-06-2569-01A-01D-1494-08.5	TCGA-06-2569	40.5654	0.988647951064
C484.TCGA-27-2524-01A-01D-1494-08.5	TCGA-27-2524	37.0639	0.989057974636
C484.TCGA-19-1787-10A-01D-1495-08.4	TCGA-19-1787	23.4277	0.985414113341
C484.TCGA-27-1836-01A-01D-1494-08.5	TCGA-27-1836	13.2957	0.984600265972
C282.TCGA-27-1830-01A-01W-0643-08.2	TCGA-27-1830	28.3407	0.946450671835
C282.TCGA-19-2625-01A-01W-0922-08.1	TCGA-19-2625	7.99015	0.979291342941
C282.TCGA-14-0790-10A-01W-0837-08.1	TCGA-14-0790	50.7231	0.985992860803
C282.TCGA-14-0790-01B-01W-0837-08.1	TCGA-14-0790	50.0017	0.984969628245
C484.TCGA-32-2632-10A-01D-1495-08.4	TCGA-32-2632	28.1456	0.986757047872
C282.TCGA-12-3650-10A-01W-0922-08.1	TCGA-12-3650	6.62375	0.9846437204
C282.TCGA-12-3649-10A-01W-0922-08.1	TCGA-12-3649	7.93337	0.985838273232
C282.TCGA-06-2567-01A-01W-0837-08.1	TCGA-06-2567	52.999	0.987472132322
C282.TCGA-06-0185-01A-01W.5	TCGA-06-0185	4.90381	0.679702909035
C282.TCGA-02-2470-10A-01W-0837-08.1	TCGA-02-2470	56.9428	0.987193048444
C282.TCGA-14-2554-01A-01W-0837-08.1	TCGA-14-2554	52.2271	0.985151260855
C484.TCGA-27-2524-10A-01D-1494-08.5	TCGA-27-2524	15.2767	0.986959825999
C484.TCGA-19-2623-10A-01D-1495-08.5	TCGA-19-2623	12.0339	0.984207637349
C282.TCGA-12-3652-10A-01W-0922-08.1	TCGA-12-3652	6.70403	0.983456506628
C282.TCGA-27-1830-10A-01W-0644-08.3	TCGA-27-1830	25.857	0.97210979239
C282.TCGA-27-1836-10A-01W-0837-08.1	TCGA-27-1836	49.1866	0.985457607705
C282.TCGA-19-1787-01B-01W-0922-08.1	TCGA-19-1787	6.89926	0.982252742115
C282.TCGA-27-2526-01A-01W-0837-08.1	TCGA-27-2526	50.9255	0.985688671958
C484.TCGA-41-2571-01A-01D-1495-08.4	TCGA-41-2571	33.5496	0.987078526574
C282.TCGA-02-2486-01A-01W-0837-08.1	TCGA-02-2486	47.6786	0.985965593251
C484.TCGA-28-2509-10A-01D-1494-08.5	TCGA-28-2509	33.2973	0.988094446004
C484.TCGA-32-2616-10A-01D-1495-08.4	TCGA-32-2616	16.7468	0.986056961104
C282.TCGA-06-2561-10A-01W-0837-08.1	TCGA-06-2561	51.8617	0.981977810753
C282.TCGA-06-2561-01A-02W-0837-08.1	TCGA-06-2561	48.3479	0.982511783418
C484.TCGA-27-1838-10A-01D-1494-08.5	TCGA-27-1838	20.3317	0.985610385892
C484.TCGA-06-2558-01A-01D-1494-08.5	TCGA-06-2558	34.9971	0.988209279644
C484.TCGA-12-3652-01A-01D-1495-08.4	TCGA-12-3652	25.1308	0.986795721592
C484.TCGA-28-1753-01A-01D-1494-08.5	TCGA-28-1753	37.275	0.988210635444
C282.TCGA-02-2470-01A-01W-0837-08.1	TCGA-02-2470	55.6022	0.985400837447
C282.TCGA-06-2558-10A-01W-0837-08.1	TCGA-06-2558	51.4641	0.982617337728
C484.TCGA-41-2571-10A-01D-1495-08.4	TCGA-41-2571	22.797	0.98610219179
C282.TCGA-06-2562-10A-01W-0837-08.1	TCGA-06-2562	45.6065	0.985269092044
C484.TCGA-41-2573-01A-01D-1495-08.5	TCGA-41-2573	30.835	0.985974728819
C484.TCGA-19-2620-01A-01D-1495-08.4	TCGA-19-2620	13.2009	0.983744265001
C282.TCGA-27-2528-10A-01W-0837-08.1	TCGA-27-2528	50.4012	0.985807566609
C484.TCGA-41-3392-01A-01D-1495-08.4	TCGA-41-3392	32.2344	0.986104749147
C282.TCGA-28-1747-10B-01W-0837-08.1	TCGA-28-1747	52.0497	0.985253443425
C484.TCGA-19-2629-01A-01D-1495-08.5	TCGA-19-2629	19.4651	0.986119409777
C282.TCGA-12-3652-01A-01W-0922-08.1	TCGA-12-3652	8.27608	0.985081071529
C484.TCGA-27-1838-01A-01D-1494-08.5	TCGA-27-1838	45.8198	0.987985052356
C484.TCGA-27-1836-10A-01D-1494-08.5	TCGA-27-1836	12.9411	0.986043088382
C484.TCGA-02-2486-01A-01D-1494-08.5	TCGA-02-2486	35.8695	0.98785238658
C484.TCGA-27-1837-10A-01D-1494-08.5	TCGA-27-1837	14.3996	0.986904499259
C282.TCGA-27-2523-10A-01W-0837-08.1	TCGA-27-2523	45.4562	0.979461069562
C282.TCGA-12-3653-01A-01W-0922-08.1	TCGA-12-3653	7.86395	0.983214869146
C484.TCGA-19-1390-01A-01D-1495-08.4	TCGA-19-1390	10.5511	0.982112233547
C484.TCGA-27-1837-01A-01D-1494-08.5	TCGA-27-1837	9.38847	0.981791815283
C282.TCGA-19-1390-01A-01W-0922-08.1	TCGA-19-1390	6.70289	0.968016052171
C484.TCGA-02-2470-01A-01D-1494-08.5	TCGA-02-2470	24.947	0.985769725566
C282.TCGA-19-2620-10A-01W-0922-08.1	TCGA-19-2620	5.83472	0.982781139915
C484.TCGA-41-2573-10A-01D-1495-08.4	TCGA-41-2573	10.1384	0.981613362291
C484.TCGA-32-1982-10A-01D-1494-08.5	TCGA-32-1982	39.4835	0.988652998377
C484.TCGA-27-1831-01A-01D-1494-08.5	TCGA-27-1831	31.9168	0.987957932745
C484.TCGA-28-2502-10A-01D-1494-08.5	TCGA-28-2502	40.6115	0.987773501312
C484.TCGA-12-3649-01A-01D-1495-08.4	TCGA-12-3649	29.7861	0.986349488679
C484.TCGA-32-2634-10A-01D-1495-08.5	TCGA-32-2634	23.0781	0.985764637509
C282.TCGA-02-2485-01A-01W-0837-08.1	TCGA-02-2485	50.4813	0.98558088733
C484.TCGA-32-2638-01A-01D-1495-08.4	TCGA-32-2638	11.439	0.982065606505
C282.TCGA-19-2624-10A-01W-0922-08.1	TCGA-19-2624	6.88104	0.983755055661
C282.TCGA-06-2563-10A-01W-0837-08.1	TCGA-06-2563	58.7544	0.9871798178
C282.TCGA-06-2567-10A-01W-0837-08.1	TCGA-06-2567	53.7204	0.986803023786
C282.TCGA-32-1970-10A-01W-0838-08.1	TCGA-32-1970	51.536	0.987087338598
C282.TCGA-27-1837-01A-01W-0837-08.1	TCGA-27-1837	49.5404	0.982797558895
C484.TCGA-28-2502-01B-01D-1494-08.5	TCGA-28-2502	32.5891	0.98783972754
C282.TCGA-27-2519-01A-01W-0837-08.1	TCGA-27-2519	48.6794	0.979679203445
C484.TCGA-28-2509-01A-01D-1494-08.5	TCGA-28-2509	39.3245	0.987706938032
C484.TCGA-27-2528-01A-01D-1494-08.5	TCGA-27-2528	20.5535	0.987497943182
C282.TCGA-06-2569-01A-01W-0837-08.1	TCGA-06-2569	49.6259	0.987133020665
C282.TCGA-02-2486-10A-01W-0837-08.1	TCGA-02-2486	49.1061	0.9875653714
C282.TCGA-06-0145-01A-01W.2	TCGA-06-0145	5.81874	0.738316048569
C484.TCGA-02-2485-01A-01D-1494-08.5	TCGA-02-2485	26.5804	0.986043532595
C484.TCGA-32-1970-10A-01D-1494-08.5	TCGA-32-1970	12.901	0.986307138942
C484.TCGA-14-2554-10A-01D-1494-08.5	TCGA-14-2554	21.799	0.987467443434
C282.TCGA-28-2502-10A-01W-0838-08.1	TCGA-28-2502	46.437	0.982845479844
C282.TCGA-28-1753-10B-01W-0837-08.1	TCGA-28-1753	54.1924	0.985626225888
C282.TCGA-12-3650-01A-01W-0922-08.1	TCGA-12-3650	7.66472	0.980828335913
C484.TCGA-14-0790-01B-01D-1494-08.5	TCGA-14-0790	38.5887	0.986815870267
C282.TCGA-02-2485-10A-01W-0837-08.1	TCGA-02-2485	50.9142	0.986370812987
C282.TCGA-06-2563-01A-01W-0837-08.1	TCGA-06-2563	54.2302	0.987265097506
C484.TCGA-28-1747-01C-01D-1494-08.5	TCGA-28-1747	34.0289	0.987247921386
C484.TCGA-19-2629-10A-01D-1495-08.4	TCGA-19-2629	31.938	0.98675943785
C282.TCGA-14-2554-10A-01W-0837-08.1	TCGA-14-2554	50.4793	0.98806321545
C484.TCGA-27-2523-01A-01D-1494-08.6	TCGA-27-2523	17.4446	0.985734292688
C484.TCGA-12-1597-01B-01D-1495-08.5	TCGA-12-1597	28.9109	0.986576938533
C282.TCGA-19-2620-01A-01W-0922-08.1	TCGA-19-2620	7.89131	0.981301138031
C282.TCGA-19-1787-10A-01W-0922-08.1	TCGA-19-1787	6.68698	0.981446282431
C282.TCGA-27-2521-01A-01W-0837-08.1	TCGA-27-2521	48.7767	0.981083895545
C484.TCGA-19-2625-10A-01D-1495-08.4	TCGA-19-2625	26.067	0.986022216308
C282.TCGA-27-2524-01A-01W-0837-08.1	TCGA-27-2524	45.4374	0.979138865203
C484.TCGA-19-2619-01A-01D-1495-08.4	TCGA-19-2619	23.1496	0.985224576168
C282.TCGA-28-2502-01B-01W-0837-08.1	TCGA-28-2502	44.7905	0.978627355198
C484.TCGA-28-2513-01A-01D-1494-08.5	TCGA-28-2513	32.5573	0.987491507975
C282.TCGA-12-3649-01A-01W-0922-08.1	TCGA-12-3649	6.17641	0.984235312146
C282.TCGA-06-2558-01A-01W-0837-08.1	TCGA-06-2558	53.2971	0.983711340688
C282.TCGA-06-2559-01A-01W-0837-08.1	TCGA-06-2559	51.919	0.985105732627
C484.TCGA-06-2561-01A-02D-1494-08.5	TCGA-06-2561	30.3734	0.987614471516
C484.TCGA-32-2616-01A-01D-1495-08.4	TCGA-32-2616	28.4138	0.986942128804
C282.TCGA-27-2519-10A-01W-0837-08.1	TCGA-27-2519	48.1418	0.978282592152
C282.TCGA-06-0145-10A-01W.3	TCGA-06-0145	12.1999	0.991426873551
C484.TCGA-19-1787-01B-01D-1495-08.4	TCGA-19-1787	15.9145	0.984511684495
C282.TCGA-27-2524-10A-01W-0837-08.1	TCGA-27-2524	51.9341	0.980352590311
C282.TCGA-06-0185-10B-01W.4	TCGA-06-0185	7.85204	0.985592910028
C484.TCGA-06-2562-01A-01D-1494-08.5	TCGA-06-2562	39.255	0.988612926131
C282.TCGA-27-1836-01A-01W-0837-08.1	TCGA-27-1836	43.3126	0.97477979182
C282.TCGA-19-2624-01A-01W-0922-08.4	TCGA-19-2624	5.64002	0.927561134654
C484.TCGA-06-0145-01A-01D-1490-08.5	TCGA-06-0145	16.7627	0.985415392569
C282.TCGA-06-2559-10A-01W-0837-08.1	TCGA-06-2559	54.8625	0.986513366993
C282.TCGA-27-2528-01A-01W-0837-08.1	TCGA-27-2528	52.2133	0.985366195148
C484.TCGA-27-1831-10A-01D-1494-08.5	TCGA-27-1831	36.4449	0.987843644645
C484.TCGA-27-2521-01A-01D-1494-08.5	TCGA-27-2521	19.5425	0.988349097522
C282.TCGA-06-0648-01A-01W.2	TCGA-06-0648	15.9687	0.981526671208
C484.TCGA-19-2625-01A-01D-1495-08.4	TCGA-19-2625	31.3693	0.986245296216
C484.TCGA-19-2619-10A-01D-1495-08.4	TCGA-19-2619	31.1164	0.987125052184
C484.TCGA-19-2623-01A-01D-1495-08.4	TCGA-19-2623	30.4133	0.987782631808
C282.TCGA-12-3653-10A-01W-0922-08.1	TCGA-12-3653	7.98053	0.985777321143
C282.TCGA-27-2523-01A-01W-0837-08.1	TCGA-27-2523	44.1428	0.980042845885
C484.TCGA-28-1753-10B-01D-1494-08.5	TCGA-28-1753	36.4712	0.988569888849
C484.TCGA-32-1982-01A-01D-1494-08.5	TCGA-32-1982	16.1787	0.985329909517
C484.TCGA-32-2632-01A-01D-1495-08.4	TCGA-32-2632	27.6224	0.986742017914
C484.TCGA-28-2513-10A-01D-1494-08.5	TCGA-28-2513	39.1801	0.988991287085
C484.TCGA-32-2634-01A-01D-1495-08.4	TCGA-32-2634	21.7095	0.986040022432
C484.TCGA-12-3653-01A-01D-1495-08.4	TCGA-12-3653	34.6584	0.986478215399
C282.TCGA-27-2521-10A-01W-0837-08.1	TCGA-27-2521	15.9842	0.955829096267
